C24,C64,t0,c6,pos,injected,scenario_id,k,expected_sigma,recipe_normal
SIM_CH_1,C64_10159_CH_1,1545743115.9,C6_0,62,False,,-1,0.0,True
SIM_CH_1,C64_11827_CH_1,1545753368.1,C6_0,63,False,,-1,0.0,True
SIM_CH_1,C64_11821_CH_1,1545753482.1,C6_0,64,False,,-1,0.0,True
SIM_CH_1,C64_11811_CH_1,1545754445.5,C6_0,65,False,,-1,0.0,True
SIM_CH_1,C64_11815_CH_1,1545755024.6,C6_0,66,False,,-1,0.0,True
SIM_CH_1,C64_11774_CH_1,1545755883.7,C6_0,67,False,,-1,0.0,True
SIM_CH_1,C64_11780_CH_1,1545756786.4,C6_0,68,False,,-1,0.0,True
SIM_CH_1,C64_11769_CH_1,1545756930.5,C6_0,69,False,,-1,0.0,True
SIM_CH_1,C64_11758_CH_1,1545757762.7,C6_0,70,False,,-1,0.0,True
SIM_CH_1,C64_11764_CH_1,1545757876.8,C6_0,71,False,,-1,0.0,True
SIM_CH_1,C64_11726_CH_1,1545758494.3,C6_0,72,False,,-1,0.0,True
SIM_CH_1,C64_11722_CH_1,1545759412.7,C6_0,73,False,,-1,0.0,True
SIM_CH_1,C64_11730_CH_1,1545759526.7,C6_0,74,False,,-1,0.0,True
SIM_CH_1,C64_11714_CH_1,1545760025.6,C6_0,75,False,,-1,0.0,True
SIM_CH_1,C64_11718_CH_1,1545760727.3,C6_0,76,False,,-1,0.0,True
SIM_CH_1,C64_11709_CH_1,1545761189.5,C6_0,77,False,,-1,0.0,True
SIM_CH_1,C64_11689_CH_1,1545762839.8,C6_0,78,False,,-1,0.0,True
SIM_CH_1,C64_11684_CH_1,1545763518.7,C6_0,79,False,,-1,0.0,True
SIM_CH_1,C64_11663_CH_1,1545764256.3,C6_0,80,False,,-1,0.0,True
SIM_CH_1,C64_11657_CH_1,1545765327.8,C6_0,81,False,,-1,0.0,True
SIM_CH_1,C64_11628_CH_1,1545766036.1,C6_0,82,False,,-1,0.0,True
SIM_CH_1,C64_11602_CH_1,1545767224.6,C6_0,83,False,,-1,0.0,True
SIM_CH_1,C64_11598_CH_1,1545767806.9,C6_0,84,False,,-1,0.0,True
SIM_CH_1,C64_11607_CH_1,1545768299.1,C6_0,85,False,,-1,0.0,True
SIM_CH_1,C64_11588_CH_1,1545768665.2,C6_0,86,False,,-1,0.0,True
SIM_CH_1,C64_11593_CH_1,1545769568.6,C6_0,87,False,,-1,0.0,True
SIM_CH_1,C64_11552_CH_1,1545770078.8,C6_0,88,False,,-1,0.0,True
SIM_CH_1,C64_11548_CH_1,1545770775.1,C6_0,89,False,,-1,0.0,True
SIM_CH_1,C64_11557_CH_1,1545771267.4,C6_0,90,False,,-1,0.0,True
SIM_CH_1,C64_11520_CH_1,1545771522.5,C6_0,91,False,,-1,0.0,True
SIM_CH_1,C64_11526_CH_1,1545771633.5,C6_0,92,False,,-1,0.0,True
SIM_CH_1,C64_11530_CH_1,1545772311.8,C6_0,93,False,,-1,0.0,True
SIM_CH_1,C64_11503_CH_1,1545773041.2,C6_0,94,False,,-1,0.0,True
SIM_CH_1,C64_11499_CH_1,1545773737.4,C6_0,95,False,,-1,0.0,True
SIM_CH_1,C64_11484_CH_1,1545774484.9,C6_0,96,False,,-1,0.0,True
SIM_CH_1,C64_11489_CH_1,1545775163.2,C6_0,97,False,,-1,0.0,True
SIM_CH_1,C64_11494_CH_1,1545775274.3,C6_0,98,False,,-1,0.0,True
SIM_CH_1,C64_11448_CH_1,1545776126.7,C6_0,99,False,,-1,0.0,True
SIM_CH_1,C64_11453_CH_1,1545776474.9,C6_0,100,False,,-1,0.0,True
SIM_CH_1,C64_11434_CH_1,1545777327.2,C6_0,101,False,,-1,0.0,True
SIM_CH_1,C64_11439_CH_1,1545777456.3,C6_0,102,False,,-1,0.0,True
SIM_CH_1,C64_11444_CH_1,1545778245.6,C6_0,103,False,,-1,0.0,True
SIM_CH_1,C64_11404_CH_1,1545779205.9,C6_0,104,False,,-1,0.0,True
SIM_CH_1,C64_11398_CH_1,1545779557.2,C6_0,105,False,,-1,0.0,True
SIM_CH_1,C64_11389_CH_1,1545780532.3,C6_0,106,False,,-1,0.0,True
SIM_CH_1,C64_11393_CH_1,1545781210.6,C6_0,107,False,,-1,0.0,True
SIM_CH_1,C64_11385_CH_1,1545781324.6,C6_0,108,False,,-1,0.0,True
SIM_CH_1,C64_11348_CH_1,1545782297.1,C6_0,109,False,,-1,0.0,True
SIM_CH_1,C64_11354_CH_1,1545782528.2,C6_0,110,False,,-1,0.0,True
SIM_CH_1,C64_11326_CH_1,1545783614.7,C6_0,111,False,,-1,0.0,True
SIM_CH_1,C64_11331_CH_1,1545784406.9,C6_0,112,False,,-1,0.0,True
SIM_CH_1,C64_11303_CH_1,1545785262.3,C6_0,113,False,,-1,0.0,True
SIM_CH_1,C64_11298_CH_1,1545785844.5,C6_0,114,False,,-1,0.0,True
SIM_CH_1,C64_11308_CH_1,1545786105.6,C6_0,115,False,,-1,0.0,True
SIM_CH_1,C64_11284_CH_1,1545786234.7,C6_0,116,False,,-1,0.0,True
SIM_CH_1,C64_11289_CH_1,1545786360.7,C6_0,117,False,,-1,0.0,True
SIM_CH_1,C64_11294_CH_1,1545787378.1,C6_0,118,False,,-1,0.0,True
SIM_CH_1,C64_11246_CH_1,1545787639.2,C6_0,119,False,,-1,0.0,True
SIM_CH_1,C64_11254_CH_1,1545788119.4,C6_0,120,False,,-1,0.0,True
SIM_CH_1,C64_11250_CH_1,1545788233.4,C6_0,121,False,,-1,0.0,True
SIM_CH_1,C64_11235_CH_1,1545789782.1,C6_0,122,False,,-1,0.0,True
SIM_CH_1,C64_11241_CH_1,1545790007.2,C6_0,123,False,,-1,0.0,True
SIM_CH_1,C64_11196_CH_1,1545790607.4,C6_0,124,False,,-1,0.0,True
SIM_CH_1,C64_11201_CH_1,1545790853.5,C6_0,125,False,,-1,0.0,True
SIM_CH_1,C64_11206_CH_1,1545791666.9,C6_0,126,False,,-1,0.0,True
SIM_CH_1,C64_11191_CH_1,1545792861.4,C6_0,127,False,,-1,0.0,True
SIM_CH_1,C64_11185_CH_1,1545792972.5,C6_0,128,False,,-1,0.0,True
SIM_CH_1,C64_11166_CH_1,1545794059.1,C6_0,129,False,,-1,0.0,True
SIM_CH_1,C64_11160_CH_1,1545794869.9,C6_0,130,False,,-1,0.0,True
SIM_CH_1,C64_11141_CH_1,1545795493.2,C6_0,131,False,,-1,0.0,True
SIM_CH_1,C64_11136_CH_1,1545795943.4,C6_0,132,False,,-1,0.0,True
SIM_CH_1,C64_11113_CH_1,1545796789.8,C6_0,133,False,,-1,0.0,True
SIM_CH_1,C64_11118_CH_1,1545797485.9,C6_0,134,False,,-1,0.0,True
SIM_CH_1,C64_11106_CH_1,1545800520.2,C6_0,135,False,,-1,0.0,True
SIM_CH_1,C64_11099_CH_1,1545800634.3,C6_0,136,False,,-1,0.0,True
SIM_CH_1,C64_11080_CH_1,1545801492.6,C6_0,137,False,,-1,0.0,True
SIM_CH_1,C64_11054_CH_1,1545803398.4,C6_0,138,False,,-1,0.0,True
SIM_CH_1,C64_11058_CH_1,1545803977.5,C6_0,139,False,,-1,0.0,True
SIM_CH_1,C64_11010_CH_1,1545804947.1,C6_0,140,False,,-1,0.0,True
SIM_CH_1,C64_11017_CH_1,1545805400.2,C6_0,141,False,,-1,0.0,True
SIM_CH_1,C64_11021_CH_1,1545805835.4,C6_0,142,False,,-1,0.0,True
SIM_CH_1,C64_10997_CH_1,1545806828.8,C6_0,143,False,,-1,0.0,True
SIM_CH_1,C64_10992_CH_1,1545807116.8,C6_0,144,False,,-1,0.0,True
SIM_CH_1,C64_11002_CH_1,1545807474.4,C6_0,145,False,,-1,0.0,True
SIM_CH_1,C64_10987_CH_1,1545807903.2,C6_0,146,False,,-1,0.0,True
SIM_CH_1,C64_10981_CH_1,1545808932.7,C6_0,147,False,,-1,0.0,True
SIM_CH_1,C64_10976_CH_1,1545809163.8,C6_0,148,False,,-1,0.0,True
SIM_CH_1,C64_10937_CH_1,1545809782.1,C6_0,149,False,,-1,0.0,True
SIM_CH_1,C64_10943_CH_1,1545810250.4,C6_0,150,False,,-1,0.0,True
SIM_CH_1,C64_10948_CH_1,1545811039.7,C6_0,151,False,,-1,0.0,True
SIM_CH_1,C64_10930_CH_1,1545811670.3,C6_0,152,False,,-1,0.0,True
SIM_CH_1,C64_10893_CH_1,1545813332.6,C6_0,153,False,,-1,0.0,True
SIM_CH_1,C64_10888_CH_1,1545813557.7,C6_0,154,False,,-1,0.0,True
SIM_CH_1,C64_10899_CH_1,1545814155.3,C6_0,155,False,,-1,0.0,True
SIM_CH_1,C64_10877_CH_1,1545814635.2,C6_0,156,False,,-1,0.0,True
SIM_CH_1,C64_10882_CH_1,1545815097.4,C6_0,157,False,,-1,0.0,True
SIM_CH_1,C64_10835_CH_1,1545817915.5,C6_0,158,False,,-1,0.0,True
SIM_CH_1,C64_10840_CH_1,1545818482.7,C6_0,159,False,,-1,0.0,True
SIM_CH_1,C64_10846_CH_1,1545819161.1,C6_0,160,False,,-1,0.0,True
SIM_CH_1,C64_12267_CH_1,1545839939.5,C6_0,161,False,,-1,0.0,True
SIM_CH_1,C64_12271_CH_1,1545840729.1,C6_0,162,False,,-1,0.0,True
SIM_CH_1,C64_12254_CH_1,1545841104.2,C6_0,163,False,,-1,0.0,True
SIM_CH_1,C64_12259_CH_1,1545842373.7,C6_0,164,False,,-1,0.0,True
SIM_CH_1,C64_12235_CH_1,1545842655.8,C6_0,165,False,,-1,0.0,True
SIM_CH_1,C64_12230_CH_1,1545844471.4,C6_0,166,False,,-1,0.0,True
SIM_CH_1,C64_12208_CH_1,1545845305.7,C6_0,167,False,,-1,0.0,True
SIM_CH_1,C64_12212_CH_1,1545845884.9,C6_0,168,False,,-1,0.0,True
SIM_CH_1,C64_12203_CH_1,1545847514.4,C6_0,169,False,,-1,0.0,True
SIM_CH_1,C64_12187_CH_1,1545848246.7,C6_0,170,False,,-1,0.0,True
SIM_CH_1,C64_12183_CH_1,1545848924.9,C6_0,171,False,,-1,0.0,True
SIM_CH_1,C64_12140_CH_1,1545849080.9,C6_0,172,False,,-1,0.0,True
SIM_CH_1,C64_12151_CH_1,1545849783.3,C6_0,173,False,,-1,0.0,True
SIM_CH_1,C64_12145_CH_1,1545849900.4,C6_0,174,False,,-1,0.0,True
SIM_CH_1,C64_12096_CH_1,1545861288.9,C6_0,175,False,,-1,0.0,True
SIM_CH_1,C64_12092_CH_1,1545861985.2,C6_0,176,False,,-1,0.0,True
SIM_CH_1,C64_11991_CH_1,1545868578.9,C6_0,177,False,,-1,0.0,True
SIM_CH_1,C64_11997_CH_1,1545868804.7,C6_0,178,False,,-1,0.0,True
SIM_CH_1,C64_12001_CH_1,1545869479.4,C6_0,179,False,,-1,0.0,True
SIM_CH_1,C64_11984_CH_1,1545870763.9,C6_0,180,False,,-1,0.0,True
SIM_CH_1,C64_11980_CH_1,1545871892.4,C6_0,181,False,,-1,0.0,True
SIM_CH_1,C64_11942_CH_1,1545872639.7,C6_0,182,False,,-1,0.0,True
SIM_CH_1,C64_11949_CH_1,1545872990.8,C6_0,183,False,,-1,0.0,True
SIM_CH_1,C64_11933_CH_1,1545873849.2,C6_0,184,False,,-1,0.0,True
SIM_CH_1,C64_11937_CH_1,1545874302.4,C6_0,185,False,,-1,0.0,True
SIM_CH_1,C64_11893_CH_1,1545875494.4,C6_0,186,False,,-1,0.0,True
SIM_CH_1,C64_11899_CH_1,1545875842.2,C6_0,187,False,,-1,0.0,True
SIM_CH_1,C64_11903_CH_1,1545876448.5,C6_0,188,False,,-1,0.0,True
SIM_CH_1,C64_11870_CH_1,1545876703.7,C6_0,189,False,,-1,0.0,True
SIM_CH_1,C64_11875_CH_1,1545877607.8,C6_0,190,False,,-1,0.0,True
SIM_CH_1,C64_11860_CH_1,1545878342.5,C6_0,191,False,,-1,0.0,True
SIM_CH_1,C64_11865_CH_1,1545879038.8,C6_0,192,False,,-1,0.0,True
SIM_CH_1,C64_11856_CH_1,1545879270.4,C6_0,193,False,,-1,0.0,True
SIM_CH_1,C64_12881_CH_1,1545939300.2,C6_0,194,False,,-1,0.0,True
SIM_CH_1,C64_12886_CH_1,1545940227.7,C6_0,195,False,,-1,0.0,True
SIM_CH_1,C64_12797_CH_1,1545947586.5,C6_0,196,False,,-1,0.0,True
SIM_CH_1,C64_12802_CH_1,1545948282.8,C6_0,197,False,,-1,0.0,True
SIM_CH_1,C64_12793_CH_1,1545948513.9,C6_0,198,False,,-1,0.0,True
SIM_CH_1,C64_12760_CH_1,1545949138.3,C6_0,199,False,,-1,0.0,True
SIM_CH_1,C64_12764_CH_1,1545949699.5,C6_0,200,False,,-1,0.0,True
SIM_CH_1,C64_12755_CH_1,1545949813.6,C6_0,201,False,,-1,0.0,True
SIM_CH_1,C64_12738_CH_1,1545950188.7,C6_0,202,False,,-1,0.0,True
SIM_CH_1,C64_12733_CH_1,1545951128.2,C6_0,203,False,,-1,0.0,True
SIM_CH_1,C64_12711_CH_1,1545955173.6,C6_0,204,False,,-1,0.0,True
SIM_CH_1,C64_12707_CH_1,1545955752.8,C6_0,205,False,,-1,0.0,True
SIM_CH_1,C64_12716_CH_1,1545955983.9,C6_0,206,False,,-1,0.0,True
SIM_CH_1,C64_12680_CH_1,1545956140.5,C6_0,207,False,,-1,0.0,True
SIM_CH_1,C64_12689_CH_1,1545956719.2,C6_0,208,False,,-1,0.0,True
SIM_CH_1,C64_12684_CH_1,1545956833.2,C6_0,209,False,,-1,0.0,True
SIM_CH_1,C64_12674_CH_1,1545958141.6,C6_0,210,False,,-1,0.0,True
SIM_CH_1,C64_12670_CH_1,1545958606.6,C6_0,211,False,,-1,0.0,True
SIM_CH_1,C64_12651_CH_1,1545959107.8,C6_0,212,False,,-1,0.0,True
SIM_CH_1,C64_12647_CH_1,1545959690.1,C6_0,213,False,,-1,0.0,True
SIM_CH_1,C64_12623_CH_1,1545960758.6,C6_0,214,False,,-1,0.0,True
SIM_CH_1,C64_12629_CH_1,1545961685.8,C6_0,215,False,,-1,0.0,True
SIM_CH_1,C64_12600_CH_1,1545962202.2,C6_0,216,False,,-1,0.0,True
SIM_CH_1,C64_12595_CH_1,1545962427.1,C6_0,217,False,,-1,0.0,True
SIM_CH_1,C64_12605_CH_1,1545963330.6,C6_0,218,False,,-1,0.0,True
SIM_CH_1,C64_12590_CH_1,1545964663.1,C6_0,219,False,,-1,0.0,True
SIM_CH_1,C64_12584_CH_1,1545965242.4,C6_0,220,False,,-1,0.0,True
SIM_CH_1,C64_12565_CH_1,1545965629.5,C6_0,221,False,,-1,0.0,True
SIM_CH_1,C64_12555_CH_1,1545966097.7,C6_0,222,False,,-1,0.0,True
SIM_CH_1,C64_12561_CH_1,1545966208.8,C6_0,223,False,,-1,0.0,True
SIM_CH_1,C64_12539_CH_1,1545968102.6,C6_0,224,False,,-1,0.0,True
SIM_CH_1,C64_12534_CH_1,1545968891.8,C6_0,225,False,,-1,0.0,True
SIM_CH_1,C64_12517_CH_1,1545975787.4,C6_0,226,False,,-1,0.0,True
SIM_CH_1,C64_12511_CH_1,1545976468.6,C6_0,227,False,,-1,0.0,True
SIM_CH_1,C64_12507_CH_1,1545976579.7,C6_0,228,False,,-1,0.0,True
SIM_CH_1,C64_12459_CH_1,1545997217.3,C6_0,229,False,,-1,0.0,True
SIM_CH_1,C64_12465_CH_1,1545997910.7,C6_0,230,False,,-1,0.0,True
SIM_CH_1,C64_12421_CH_1,1545998658.3,C6_0,231,False,,-1,0.0,True
SIM_CH_1,C64_12425_CH_1,1545999108.1,C6_0,232,False,,-1,0.0,True
SIM_CH_1,C64_12430_CH_1,1545999672.4,C6_0,233,False,,-1,0.0,True
SIM_CH_1,C64_12412_CH_1,1546000533.7,C6_0,234,False,,-1,0.0,True
SIM_CH_1,C64_12416_CH_1,1546000998.9,C6_0,235,False,,-1,0.0,True
SIM_CH_1,C64_12385_CH_1,1546001629.2,C6_0,236,False,,-1,0.0,True
SIM_CH_1,C64_12390_CH_1,1546002193.6,C6_0,237,False,,-1,0.0,True
SIM_CH_1,C64_12347_CH_1,1546002922.8,C6_0,238,False,,-1,0.0,True
SIM_CH_1,C64_12352_CH_1,1546003502.4,C6_0,239,False,,-1,0.0,True
SIM_CH_1,C64_12356_CH_1,1546003967.2,C6_0,240,False,,-1,0.0,True
SIM_CH_1,C64_12335_CH_1,1546004357.4,C6_0,241,False,,-1,0.0,True
SIM_CH_1,C64_12340_CH_1,1546004936.6,C6_0,242,False,,-1,0.0,True
SIM_CH_1,C64_12302_CH_1,1546006359.3,C6_0,243,False,,-1,0.0,True
SIM_CH_1,C64_13205_CH_1,1546029432.4,C6_0,244,False,,-1,0.0,True
SIM_CH_1,C64_13211_CH_1,1546029771.5,C6_0,245,False,,-1,0.0,True
SIM_CH_1,C64_13186_CH_1,1546030611.8,C6_0,246,False,,-1,0.0,True
SIM_CH_1,C64_13181_CH_1,1546031773.2,C6_0,247,False,,-1,0.0,True
SIM_CH_1,C64_13142_CH_1,1546035011.2,C6_0,248,False,,-1,0.0,True
SIM_CH_1,C64_13148_CH_1,1546035251.2,C6_0,249,False,,-1,0.0,True
SIM_CH_1,C64_13152_CH_1,1546035815.5,C6_0,250,False,,-1,0.0,True
SIM_CH_1,C64_13134_CH_1,1546037010.1,C6_0,251,False,,-1,0.0,True
SIM_CH_1,C64_13114_CH_1,1546038330.8,C6_0,252,False,,-1,0.0,True
SIM_CH_1,C64_13110_CH_1,1546038895.6,C6_0,253,False,,-1,0.0,True
SIM_CH_1,C64_13118_CH_1,1546039231.2,C6_0,254,False,,-1,0.0,True
SIM_CH_1,C64_13072_CH_1,1546039852.3,C6_0,255,False,,-1,0.0,True
SIM_CH_1,C64_13076_CH_1,1546040083.4,C6_0,256,False,,-1,0.0,True
SIM_CH_1,C64_13080_CH_1,1546040548.6,C6_0,257,False,,-1,0.0,True
SIM_CH_1,C64_13059_CH_1,1546045314.5,C6_0,258,False,,-1,0.0,True
SIM_CH_1,C64_13064_CH_1,1546046022.8,C6_0,259,False,,-1,0.0,True
SIM_CH_1,C64_13030_CH_1,1546047001.2,C6_0,260,False,,-1,0.0,True
SIM_CH_1,C64_13025_CH_1,1546047904.6,C6_0,261,False,,-1,0.0,True
SIM_CH_1,C64_13021_CH_1,1546048874.9,C6_0,262,False,,-1,0.0,True
SIM_CH_1,C64_13016_CH_1,1546049105.1,C6_0,263,False,,-1,0.0,True
SIM_CH_1,C64_13012_CH_1,1546049567.3,C6_0,264,False,,-1,0.0,True
SIM_CH_1,C64_12987_CH_1,1546049972.5,C6_0,265,False,,-1,0.0,True
SIM_CH_1,C64_12996_CH_1,1546050422.6,C6_0,266,False,,-1,0.0,True
SIM_CH_1,C64_12991_CH_1,1546050761.7,C6_0,267,False,,-1,0.0,True
SIM_CH_1,C64_12969_CH_1,1546066117.7,C6_0,268,False,,-1,0.0,True
SIM_CH_1,C64_12940_CH_1,1546070781.3,C6_0,269,False,,-1,0.0,True
SIM_CH_1,C64_12948_CH_1,1546071012.4,C6_0,270,False,,-1,0.0,True
SIM_CH_1,C64_12944_CH_1,1546071360.5,C6_0,271,False,,-1,0.0,True
SIM_CH_1,C64_12918_CH_1,1546072702.3,C6_0,272,False,,-1,0.0,True
SIM_CH_1,C64_13638_CH_1,1546112380.7,C6_0,273,False,,-1,0.0,True
SIM_CH_1,C64_13645_CH_1,1546113569.3,C6_0,274,False,,-1,0.0,True
SIM_CH_1,C64_13608_CH_1,1546115115.8,C6_0,275,False,,-1,0.0,True
SIM_CH_1,C64_13615_CH_1,1546115355.1,C6_0,276,False,,-1,0.0,True
SIM_CH_1,C64_13620_CH_1,1546116543.6,C6_0,277,False,,-1,0.0,True
SIM_CH_1,C64_13596_CH_1,1546117137.9,C6_0,278,False,,-1,0.0,True
SIM_CH_1,C64_13601_CH_1,1546117251.9,C6_0,279,False,,-1,0.0,True
SIM_CH_1,C64_13566_CH_1,1546118443.5,C6_0,280,False,,-1,0.0,True
SIM_CH_1,C64_13562_CH_1,1546119256.9,C6_0,281,False,,-1,0.0,True
SIM_CH_1,C64_13532_CH_1,1546121699.9,C6_0,282,False,,-1,0.0,True
SIM_CH_1,C64_13526_CH_1,1546122512.9,C6_0,283,False,,-1,0.0,True
SIM_CH_1,C64_13491_CH_1,1546123029.1,C6_0,284,False,,-1,0.0,True
SIM_CH_1,C64_13486_CH_1,1546123140.2,C6_0,285,False,,-1,0.0,True
SIM_CH_1,C64_13496_CH_1,1546123704.5,C6_0,286,False,,-1,0.0,True
SIM_CH_1,C64_13219_CH_1,1546126450.8,C6_0,287,False,,-1,0.0,True
SIM_CH_1,C64_13225_CH_1,1546126675.9,C6_0,288,False,,-1,0.0,True
SIM_CH_1,C64_13229_CH_1,1546127222.2,C6_0,289,False,,-1,0.0,True
SIM_CH_1,C64_13470_CH_1,1546127579.3,C6_0,290,False,,-1,0.0,True
SIM_CH_1,C64_13465_CH_1,1546128386.7,C6_0,291,False,,-1,0.0,True
SIM_CH_1,C64_13445_CH_1,1546129470.2,C6_0,292,False,,-1,0.0,True
SIM_CH_1,C64_13440_CH_1,1546129584.2,C6_0,293,False,,-1,0.0,True
SIM_CH_1,C64_13416_CH_1,1546135166.5,C6_0,294,False,,-1,0.0,True
SIM_CH_1,C64_13422_CH_1,1546135842.1,C6_0,295,False,,-1,0.0,True
SIM_CH_1,C64_13397_CH_1,1546136808.4,C6_0,296,False,,-1,0.0,True
SIM_CH_1,C64_13392_CH_1,1546137387.6,C6_0,297,False,,-1,0.0,True
SIM_CH_1,C64_13365_CH_1,1546172234.5,C6_0,298,False,,-1,0.0,True
SIM_CH_1,C64_13370_CH_1,1546172813.8,C6_0,299,False,,-1,0.0,True
SIM_CH_1,C64_13338_CH_1,1546174257.4,C6_0,300,False,,-1,0.0,True
SIM_CH_1,C64_13342_CH_1,1546174713.5,C6_0,301,False,,-1,0.0,True
SIM_CH_1,C64_13346_CH_1,1546175166.7,C6_0,302,False,,-1,0.0,True
